,pdf_type,confidence,total_pages,text_pages,scanned_pages,mixed_pages,ocr_pages,ocr_enabled,processing_time_sec,extraction_engine,requires_ocr,requires_docling,decision_reason
38,TEXT,66.46067416,178,175,1,2,0,FALSE,4.1745637,PyMuPDF,FALSE,FALSE,175 of 178 pages contain a text layer. OCR is not required. Use direct text and table extraction.
39,UNKNOWN,0,0,0,0,0,0,FALSE,0.0219821,,FALSE,FALSE,
40,TEXT,67.00775194,645,632,9,3,1,FALSE,25.4122872,PyMuPDF,FALSE,FALSE,632 of 645 pages contain a text layer. OCR is not required. Use direct text and table extraction.
41,TEXT,64.94974874,199,194,0,4,1,FALSE,8.8434614,PyMuPDF,FALSE,FALSE,194 of 199 pages contain a text layer. OCR is not required. Use direct text and table extraction.
42,TEXT,61.72289157,415,395,1,10,9,FALSE,13.4630367,PyMuPDF,FALSE,FALSE,395 of 415 pages contain a text layer. OCR is not required. Use direct text and table extraction.
43,TEXT,59.35483871,279,270,6,3,0,FALSE,5.1273477,PyMuPDF,FALSE,FALSE,270 of 279 pages contain a text layer. OCR is not required. Use direct text and table extraction.
44,TEXT,69.39306358,346,336,1,9,0,FALSE,4.6938135,PyMuPDF,FALSE,FALSE,336 of 346 pages contain a text layer. OCR is not required. Use direct text and table extraction.
45,TEXT,59.94413408,358,339,10,8,1,FALSE,5.5350902,PyMuPDF,FALSE,FALSE,339 of 358 pages contain a text layer. OCR is not required. Use direct text and table extraction.
46,TEXT,61.59388646,458,445,2,11,0,FALSE,12.7721864,PyMuPDF,FALSE,FALSE,445 of 458 pages contain a text layer. OCR is not required. Use direct text and table extraction.
47,UNKNOWN,0,0,0,0,0,0,FALSE,0.0270451,,FALSE,FALSE,
48,MIXED,64.5990566,212,186,2,24,0,TRUE,22.2627388,PyMuPDF,FALSE,FALSE,186 of 212 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
49,TEXT,59.07407407,243,241,1,1,0,FALSE,2.4071655,PyMuPDF,FALSE,FALSE,241 of 243 pages contain a text layer. OCR is not required. Use direct text and table extraction.
